Source,Target,Weight,Type
32,13,0.027777778,undirected
32,15,0.027777778,undirected
33,0,0.028985507,undirected
33,1,0.10144928,undirected
33,3,0.028985507,undirected
33,4,0.072463768,undirected
33,5,0.028985507,undirected
33,6,0.043478261,undirected
33,7,0.057971014,undirected
33,9,0.043478261,undirected
33,10,0.057971014,undirected
33,12,0.028985507,undirected
33,13,0.043478261,undirected
33,14,0.014492754,undirected
33,15,0.028985507,undirected
34,1,0.051282051,undirected
34,2,0.051282051,undirected
34,3,0.051282051,undirected
34,4,0.025641026,undirected
34,9,0.051282051,undirected
34,10,0.051282051,undirected
34,11,0.051282051,undirected
34,13,0.051282051,undirected
34,15,0.025641026,undirected
35,0,0.03030303,undirected
35,5,0.060606061,undirected
35,6,0.060606061,undirected
35,8,0.060606061,undirected
35,11,0.12121212,undirected
35,12,0.12121212,undirected
35,13,0.060606061,undirected
36,0,0.028571429,undirected
36,1,0.028571429,undirected
36,5,0.057142857,undirected
36,6,0.057142857,undirected
36,7,0.028571429,undirected
36,8,0.057142857,undirected
36,9,0.085714286,undirected
36,10,0.057142857,undirected
36,13,0.028571429,undirected
36,14,0.085714286,undirected
36,15,0.028571429,undirected
37,0,0.055555556,undirected
37,1,0.027777778,undirected
37,2,0.027777778,undirected
37,3,0.027777778,undirected
37,4,0.027777778,undirected
37,6,0.027777778,undirected
37,7,0.027777778,undirected
37,9,0.027777778,undirected
37,10,0.027777778,undirected
37,14,0.027777778,undirected
37,15,0.083333333,undirected
38,1,0.090909091,undirected
38,3,0.090909091,undirected
38,7,0.090909091,undirected
38,12,0.090909091,undirected
38,14,0.090909091,undirected
39,0,0.052631579,undirected
39,1,0.052631579,undirected
39,2,0.052631579,undirected
39,3,0.052631579,undirected
39,4,0.052631579,undirected
39,12,0.10526316,undirected
39,14,0.10526316,undirected
39,15,0.052631579,undirected
40,1,0.066666667,undirected
40,3,0.13333333,undirected
40,9,0.13333333,undirected
40,10,0.066666667,undirected
40,13,0.066666667,undirected
40,14,0.066666667,undirected
41,2,0.083333333,undirected
41,6,0.083333333,undirected
41,7,0.16666667,undirected
41,11,0.083333333,undirected
41,14,0.083333333,undirected
42,0,0.16666667,undirected
42,6,0.083333333,undirected
42,12,0.083333333,undirected
42,15,0.083333333,undirected
43,0,0.037037037,undirected
43,1,0.018518519,undirected
43,3,0.037037037,undirected
43,4,0.055555556,undirected
43,5,0.074074074,undirected
43,6,0.055555556,undirected
43,7,0.074074074,undirected
43,8,0.018518519,undirected
43,9,0.055555556,undirected
43,11,0.037037037,undirected
43,12,0.018518519,undirected
43,13,0.037037037,undirected
43,14,0.037037037,undirected
43,15,0.018518519,undirected
44,0,0.071428571,undirected
44,1,0.071428571,undirected
44,5,0.071428571,undirected
44,6,0.071428571,undirected
44,8,0.14285714,undirected
44,12,0.071428571,undirected
45,1,0.04,undirected
45,2,0.12,undirected
45,3,0.04,undirected
45,4,0.04,undirected
45,6,0.04,undirected
45,7,0.04,undirected
45,11,0.04,undirected
45,12,0.04,undirected
45,13,0.08,undirected
45,15,0.04,undirected
46,0,0.022727273,undirected
46,1,0.022727273,undirected
46,2,0.090909091,undirected
46,3,0.068181818,undirected
46,4,0.068181818,undirected
46,5,0.022727273,undirected
46,6,0.022727273,undirected
46,7,0.022727273,undirected
46,9,0.022727273,undirected
46,10,0.022727273,undirected
46,11,0.090909091,undirected
46,12,0.022727273,undirected
46,13,0.022727273,undirected
46,15,0.022727273,undirected
47,4,0.0625,undirected
47,5,0.125,undirected
47,6,0.0625,undirected
47,9,0.0625,undirected
47,13,0.0625,undirected
47,15,0.0625,undirected
48,0,0.086956522,undirected
48,1,0.043478261,undirected
48,3,0.043478261,undirected
48,9,0.086956522,undirected
48,10,0.043478261,undirected
48,11,0.043478261,undirected
48,12,0.043478261,undirected
48,13,0.086956522,undirected
48,15,0.13043478,undirected
49,0,0.052631579,undirected
49,1,0.052631579,undirected
49,6,0.052631579,undirected
49,8,0.052631579,undirected
49,9,0.052631579,undirected
49,10,0.052631579,undirected
49,11,0.15789474,undirected
49,15,0.052631579,undirected
50,1,0.020833333,undirected
50,2,0.020833333,undirected
50,3,0.0625,undirected
50,5,0.020833333,undirected
50,7,0.041666667,undirected
50,8,0.0625,undirected
50,9,0.0625,undirected
50,11,0.020833333,undirected
50,12,0.10416667,undirected
50,13,0.041666667,undirected
50,14,0.041666667,undirected
50,15,0.041666667,undirected
51,0,0.037037037,undirected
51,1,0.037037037,undirected
51,2,0.037037037,undirected
51,4,0.037037037,undirected
51,6,0.074074074,undirected
51,8,0.037037037,undirected
51,9,0.11111111,undirected
51,11,0.074074074,undirected
51,13,0.037037037,undirected
51,14,0.074074074,undirected
51,15,0.037037037,undirected
52,4,0.0625,undirected
52,5,0.0625,undirected
52,7,0.0625,undirected
