word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
αλοχοιο,0,0,0.0046948357,0,0,0,0,0,0,0,0,0,0,0,0,0
εγκλιτεον,0,0.004784689,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
συνδ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
ειποι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
υφ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τονδε,0,0.004784689,0,0,0,0,0,0,0.010416667,0,0,0.0050761421,0,0,0,0
χρηται,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
συνηθως,0,0,0.0046948357,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
αυτῳ,0,0,0,0,0,0,0.0049261084,0.0049019608,0.010416667,0,0,0.0050761421,0.0050251256,0,0,0
περισσῳ,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
τουτον,0,0,0,0,0.0047393365,0,0,0.0049019608,0,0.0042918455,0,0,0,0,0,0
μετ,0,0,0,0.0048543689,0,0,0.0049261084,0,0.0052083333,0,0,0.0050761421,0,0,0,0
τρεις,0,0,0,0,0.0047393365,0,0,0,0,0,0.0049751244,0,0,0,0,0
ηθετηκεν,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
υποθεσιν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
τινα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
λεγονται,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
επιτηδες,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τουτων,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
των,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αγαθων,0,0,0.0093896714,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
επεσβολον,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
παραγειοχεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
ιστεον,0,0,0.0093896714,0,0.0047393365,0,0,0.0049019608,0,0,0.0049751244,0,0.0050251256,0,0.0047619048,0
αχιλλευς,0,0,0,0,0,0,0.0049261084,0,0,0.0042918455,0,0.0050761421,0,0,0,0
αναιρει,0,0,0,0,0,0,0,0,0,0,0,0.010152284,0,0,0,0
ιστορει,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0.0047619048,0
κοϊντος,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ποιητης,0.0049751244,0.009569378,0,0,0.0047393365,0.0046296296,0,0,0,0.0042918455,0,0,0.0050251256,0.0047393365,0.0095238095,0
τοις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μεθ,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ομηρον,0,0,0.0046948357,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
φησι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αμαζονομαχια,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
ανελων,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
