word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
δυϊκως,0.00043075598,0,0.00021349274,0,0.00021915407,0,0.00042526047,0,0.00043421624,0,0.00043261951,0,0,0.00021729683,0.00021294719,0.00021810251,0.00042435816,0.000213858,0.00021621622,0.00021853147,0.00021645022,0.00043639537,0.00042844901,0.00021317416,0
μαλα,0.00021537799,0.00043346337,0.00085397096,0.00064516129,0,0.00021213407,0.0010631512,0.00063626723,0.00043421624,0.00021838829,0.00064892927,0.0013183916,0.00021473051,0.00021729683,0.00042589438,0.00043620502,0,0,0.00021621622,0.00021853147,0.00021645022,0,0,0.00042634833,0.00066050198
ἑστεωτ,0,0,0,0,0,0,0,0.00021208908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
πολιν,0.00043075598,0.00021673169,0.00042698548,0.00086021505,0.0010957703,0.00021213407,0.00042526047,0.0010604454,0.00065132436,0.00065516488,0.00043261951,0.00021973193,0.00021473051,0.00043459365,0.00042589438,0.00087241003,0.00084871632,0.000427716,0.00021621622,0.00087412587,0.00043290043,0.00087279075,0.00042844901,0.00021317416,0.00044033465
νεον,0.00021537799,0.00021673169,0,0,0,0,0.00042526047,0.00042417815,0,0,0.00043261951,0.00021973193,0,0.00021729683,0,0.00021810251,0,0,0.00021621622,0,0,0.00043639537,0,0,0.00044033465
ωλεο,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0,0,0,0,0,0,0,0,0,0,0
ἀλλω,0.00021537799,0.00021673169,0,0.00064516129,0.00043830813,0.00042426814,0,0,0.00021710812,0.00021838829,0.00043261951,0.00021973193,0.00064419154,0.00021729683,0.00042589438,0.00021810251,0.00042435816,0.000427716,0.00021621622,0.00021853147,0,0.00087279075,0.00021422451,0.00063952249,0.00066050198
παϊς,0,0,0,0,0,0,0,0,0,0,0.00021630976,0,0,0,0,0,0.00021217908,0.000213858,0,0.00021853147,0,0.00021819769,0,0,0
ὁντιν,0,0,0,0,0,0,0,0.00021208908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ἐλεῃσι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021217908,0,0,0,0,0,0,0,0
