word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
τελειοντελεον,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
εξελειν,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
ταχα,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
δευτερου,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
προσωπου,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
τεταχθαι,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
ανωθεν,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
μετενηνεχθαι,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
αψ,0,0,0,0,0,0,0,0,0,0,0,0,0
αναχωρησουσιν,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
αστερισκοι,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0
παρακεινται,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0
εκ,0,0,0,0,0,0,0,0,0,0,0,0,0
νεστορος,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
λογων,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
μετενηνεγμενοι,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
δεοντως,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
γελοιος,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
εσται,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
οδυσσευς,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ωρας,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
προκεκοφαιας,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ερωτων,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
μενουσιν,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
απερχονται,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
πο,0,0,0,0,0,0,0,0,0,0,0,0,0
αν,0,0,0,0,0,0,0,0,0,0,0,0,0
ειρημενων,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
