word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
αλλης,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
αρχης,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
αναγνωστεον,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ηϋτε,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
αιπολῳ,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
πορρω,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
διατελουντι,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
αυτῳ,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
καταφαινεται,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
νεφος,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ομοιον,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
πισση,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ηρωων,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
σακεσιν,0,0,0,0,0,0,0,0.063829787,0,0,0,0,0,0
γεγονεν,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0
παραθεσις,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
νεφους,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
κυανεαι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
οιον,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
πυκναι,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
αραιαι,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
νεφελαι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
διαυγεις,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
ινα,0,0,0,0,0,0,0,0,0,0,0,0,0,0
οπλα,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
καταπληκτικαι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
ωσι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
δορασι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
πεφρικυιαι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
τουτ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εστιν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ορθομενα,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
εχουσαι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
δωρατα,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ετερα,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
αρισταρχου,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
βεβρηθυιαι,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ειχεν,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
μηποτε,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
λογον,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0
εχει,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
εκει,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0
βεβριθει,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
ενταυθα,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0
ομρ,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
αινιττεσθαι,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
μοναρχιαν,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
δηλουν,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
ενος,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
εξηπται,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
