Source,Target,Weight,Type
urn:cts:greekLit:tlg5026.msA.hmt:1.38,15,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,0,0.031914894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,1,0.063829787,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,2,0.031914894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,3,0.074468085,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,4,0.042553191,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,5,0.021276596,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,6,0.063829787,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,7,0.063829787,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,8,0.042553191,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,9,0.031914894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,10,0.031914894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,11,0.042553191,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,12,0.063829787,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,13,0.031914894,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,14,0.042553191,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.39,15,0.010638298,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,0,0.025974026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,2,0.038961039,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,3,0.038961039,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,4,0.012987013,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,5,0.051948052,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,6,0.025974026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,7,0.012987013,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,8,0.051948052,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,9,0.051948052,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,10,0.064935065,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,11,0.025974026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,12,0.051948052,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,13,0.051948052,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,14,0.012987013,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.40,15,0.051948052,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,1,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,4,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,8,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,9,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,10,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,11,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,13,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.41,15,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.42,0,0.020547945,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.42,1,0.020547945,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.42,2,0.047945205,undirected
